ComID,TotDASqKm,QA_MA_cfs,QA_MA_cms
800039814,402.9056,0,0
800027114,216.5737,0,0
800029203,212.8795,0,0
800040012,215.4076,0,0
800040013,213.0541,0,0
800040006,120.6281,0,0
800035665,104.4815,0,0
800024933,97.0228,0,0
800027156,99.0647,0,0
800029217,104.3968,0,0
800035685,96.7334,0,0
800040028,97.0156,0,0
800031369,96.7286,0,0
800024931,91.4646,0,0
800035684,90.8013,0,0
800040027,90.6651,0,0
800035421,0.0563,0,0
800037583,0,0,0
800031114,0.5684,0,0
800031145,0.1727,0,0
800037555,0.5705,0,0
800037554,0.2486,0,0
800024631,1.459,0,0
800026840,0.7661,0,0
800039742,0.1427,0,0
800039715,2.3492,0,0
800033254,0.5538,0,0
800028944,2.9416,0,0
800035385,3.0226,0,0
800028943,0.5814,0,0
800031194,5.1538,0,0
800039713,3.206,0,0
800026937,5.5319,0,0
800033339,5.2302,0,0
800029018,0.0016,0,0
800024717,5.2637,0,0
800031193,5.1939,0,0
800039793,5.1522,0,0
800031195,5.1142,0,0
800037635,5.1161,0,0
800024716,4.3768,0,0
800029017,0.0808,0,0
800035481,4.3462,0,0
800026903,0.2568,0,0
800029016,1.3467,0,0
800035480,1.3467,0,0
800033191,9.6778,0,0
800035309,8.6352,0,0
800035310,8.6329,0,0
800028942,3.3254,0,0
800035381,3.3321,0,0
800033188,10.7778,0,0
800031191,0.3119,0,0
800033187,2.4078,0,0
800035306,0.8551,0,0
800035618,10.9026,0,0
800024775,6.8464,0,0
800024805,30.3882,0,0
800027004,6.6811,0,0
800027005,6.9001,0,0
800027019,30.477,0,0
800031263,7.3709,0,0
800035526,6.8239,0,0
800029091,22.8567,0,0
800027113,0.623,0,0
800029177,1.1164,0,0
800039979,2.1013,0,0
800027106,12.7977,0,0
800037778,0.3468,0,0
800031341,1.8847,0,0
800039973,3.6363,0,0
800029171,0.3057,0,0
800037715,1.6355,0,0
800037755,4.9194,0,0
800024747,0.4355,0,0
800037662,0.1035,0,0
800035550,0.6581,0,0
800033456,0.6187,0,0
800024887,13.1925,0,0
800037636,2.7641,0,0
800039820,0.4804,0,0
800024958,0.0323,0,0
800024954,17.1296,0,0
800027144,0,0,0
800031373,212.5181,0,0
800040014,212.5181,0,0
800037807,2.2471,0,0
800040011,1.6118,0,0
800035717,15.7083,0,0
800035688,1.0776,0,0
800040010,208.8923,0,0
800027139,0.0004,0,0
800037802,0.0008,0,0
800024932,6.887,0,0
800031246,0.2235,0,0
800035578,1.1302,0,0
800024825,0.9178,0,0
800039816,10.8311,0,0
800039508,54.4013,0,0
800028807,0.8052,0,0
800030987,0.7351,0,0
800024500,0.7027,0,0
800028800,1.2664,0,0
800037382,65.5755,0,0
800035184,0.3194,0,0
800035185,0.2904,0,0
800037474,0.0685,0,0
800037450,28.6254,0,0
800037363,3.7507,0,0
800033142,33.0637,0,0
800024472,0,0,0
800030981,14.1497,0,0
800026688,0,0,0
800039465,86.6293,0,0
800028093,4.5497,0,0
800030857,5.4564,0,0
800035058,3.7091,0,0
800026539,1.8209,0,0
800024324,0.3157,0,0
800026557,0.3851,0,0
800035074,0,0,0
800032855,0.5207,0,0
800026427,7.5572,0,0
800026428,6.6951,0,0
800039283,7.1536,0,0
800032857,1.7197,0,0
800030602,2.9841,0,0
800037060,3.1854,0,0
800032858,66.4244,0,0
800032933,1.3353,0,0
800024272,0.3467,0,0
800039338,10.1837,0,0
800026502,1.4111,0,0
800033028,42.9178,0,0
800039446,1.1802,0,0
800028617,31.2634,0,0
800026596,48.3755,0,0
800026597,48.3859,0,0
800028695,48.5795,0,0
800033027,48.0028,0,0
800024026,0.9141,0,0
800030439,0.0505,0,0
800034637,46.6624,0,0
800026095,47.8365,0,0
800032748,0.5359,0,0
800032575,2.3974,0,0
800032574,1.164,0,0
800026312,0,0,0
800027200,1.6324,0,0
800031438,1.6814,0,0
800035747,0.2749,0,0
800035748,0.3275,0,0
800040030,2.9757,0,0
800027142,0.3949,0,0
800035667,0.1399,0,0
800037805,0.3946,0,0
800027143,0.1662,0,0
800031372,0.0025,0,0
800035668,0.1662,0,0
800027137,13.2266,0,0
800028095,10.9127,0,0
800040007,13.2269,0,0
800040029,12.372,0,0
800031411,1.5033,0,0
800031436,1.2576,0,0
800037862,0.1471,0,0
800029218,4.3695,0,0
800029198,1.0646,0,0
800037801,82.7678,0,0
800038823,81.6174,0,0
800039919,66.1287,0,0
800029126,63.3096,0,0
800037740,62.2495,0,0
800037741,61.2579,0,0
800035602,38.6822,0,0
800031312,36.6308,0,0
800037736,14.3746,0,0
800033444,10.2869,0,0
800033443,9.0325,0,0
800037739,1.7071,0,0
800029125,0.4177,0,0
800037737,0.1722,0,0
800035601,0.177,0,0
800039918,0.0979,0,0
800037738,1.1089,0,0
800037735,0.3477,0,0
800027060,0.2845,0,0
800031286,22.0569,0,0
800033402,10.5607,0,0
800033401,0.7237,0,0
800039894,6.3892,0,0
800027040,1.229,0,0
800039896,0.3784,0,0
800024829,4.8235,0,0
800039849,3.5272,0,0
