,state,feature_id,dam_name,stream_name,watershed_huc2,region,latitude,longitude,StrOrder,TotDA.SqKm,AvgAnnualQ.CS,dam_length_m,Removal_year,Built_year,DamPurpose,DamMaterial,DamMaterialCat,dam_height_m,HtCategory,number_removed_project,project_identifier,multi_dam_flag,DR_Cost,RemovalReason,SedimentManagement,ContaminatedSediment,MitigationDrivers,PostRemovalDrivers,TOTAL_DRIVERS,SD_score,MD_score,PR_score,Tot_Drivers,CostEst_StAdj
304,MN,aa9ff518-3cbf-4359-9bdd-8c9de77d52ff,Flandrau Dam,Cottonwood River,Upper Mississippi Region,Midwest,44.28613,-94.4518,5,3374.0181,7.545278735,NA,1995,NA,unknown,unknown,,3.7,less than 5,1,NA,0,436059,Restoration,NA,NA,NA,NA,0,0,0,0,0,420345.1622
305,MN,eff4e1cb-5a27-4648-b935-b1558a7b457b,Shell Lake Dam,Shell River/Upper Mississippi,Upper Mississippi Region,Midwest,46.94719,-95.4102,1,159.3936,0.400881603,NA,2017,1937,recreation and resource management,"concrete, sheet piling",2,NA,less than 5,1,NA,0,30556,Restoration,NA,NA,NA,NA,0,0,0,0,0,29454.88288
306,MN,1d704d03-b0b7-43e8-92bd-ac431b77b03a,Minnesota Falls Dam,Minnesota River,Upper Mississippi Region,Midwest,44.79105,-95.4998,7,16247.4462,18.83087316,109,2013,1905,power,unknown,,5.5,between 5 and 10,1,NA,0,2332008,"Safety,Restoration",Sed removal,NA,"RiverHabFeature,BankProtection",Revegetation,4,1,2,1,4,2247971.676
307,MN,cb8e9c31-3c55-484e-84f7-340f071e0b67,Crookston Dam #1,Red Lake River,Souris-Red-Rainy Region,Midwest,47.774564,-96.615297,6,13822.9164,25.21544433,69.3,2005,1883,power,"cement, concrete",3,3.7,less than 5,1,NA,0,2166491,"Safety,Restoration",NA,NA,"RiverHabFeature,BankProtection",Fish.Passage,3,0,2,1,3,2088419.252
308,MN,0f875ddd-7f9a-4cc0-96d5-cf873173d956,Chester Creek Dam 2,Chester Creek,Great Lakes Region,Midwest,46.8131,-92.094,2,17.809,0.15024919,NA,2017,1939,recreation and resource management,"concrete, masonry",3,1.8,less than 5,2,CC001,1,109831,"Safety,Restoration",Sed removal,NA,BankProtection,NA,2,1,1,0,2,105873.1261
309,MN,68c863f9-460a-4c71-8d4c-d3a4950f6563,Point Dam,Red Lake River,Souris-Red-Rainy Region,Midwest,47.923008,-97.018353,6,63446.355,25.81652604,35.5,2003,1937,water supply,"cement, concrete",3,0.7,less than 5,1,NA,0,302136,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,291248.2162
310,MN,c3755594-6369-41b9-bcb5-63bf6a965b9c,Mound Creek South Pool Dam,Mound Creek,Missouri Region,Midwest,43.71443,-96.17797,3,44.8668,0.109161445,20,2019,1940,unknown,concrete,3,7.3,between 5 and 10,1,NA,0,1859018,Restoration,NA,NA,NA,"ReshapeTopography,Revegetation",2,0,0,2,2,1792026.36
311,MN,3ee94ec3-a23f-450d-8cce-01924e0f4ea8,Old Mill Dam,Middle River,Souris-Red-Rainy Region,Midwest,48.362372,-96.572589,3,545.4351,0.376699016,NA,2001,NA,power,"cement, masonry",3,2.6,less than 5,1,NA,0,95717,"Safety,Restoration",NA,NA,RiverHabFeature,ReshapeTopography,2,0,1,1,2,92267.73874
312,MN,44e5013e-11b5-4d7a-9498-0f231adefebe,Chester Creek Dam 1,Chester Creek,Great Lakes Region,Midwest,46.81319,-92.0948,2,17.809,0.15024919,NA,2017,1939,recreation and resource management,"concrete, masonry",3,1.8,less than 5,2,CC001,0,109831,"Safety,Restoration",NA,NA,"CofferDam,BankProtection,Bridges",Revegetation,4,0,3,1,4,105873.1261
313,MN,83aaa477-ba82-455b-a4ae-152ed355f699,Drywood Creek Dam,Drywood Creek,Upper Mississippi Region,Midwest,45.40753,-95.998,4,237.3129,0.227695767,NA,2017,1972,recreation and resource management,unknown,,1.8,less than 5,1,NA,0,131798,Restoration,NA,NA,NA,NA,0,0,0,0,0,127048.5225
314,MT,6e1856b3-d034-4b61-b820-553b630a10c7,Milltown Dam,Clark Fork River,Pacific Northwest Region,Northwest,46.8716,-113.8928,7,15176.8458,102.4024403,NA,2008,1907,power,unknown,,8.2,between 5 and 10,1,NA,0,162486807,"Safety,Restoration",Sed removal,1,NA,NA,2,2,0,0,2,181105087
315,MT,d462a34a-24d1-483d-801d-2e7110c4e200,Egge Dam,Musselshell River,Missouri Region,Northwest,46.2856,-108.8431,5,7693.5096,16.79545819,19,2017,1902,water supply,concrete,3,NA,less than 5,1,NA,0,384410,"Safety,Restoration",NA,NA,BankProtection,Revegetation,2,0,1,1,2,428456.9792
316,MT,f4055563-1355-4fdd-b90c-4f012a0f40b7,Stimson Dam,Blackfoot River,Pacific Northwest Region,Northwest,46.87613,-113.868,6,5916.1896,52.593333,58.5,2005,NA,power,wood,1,9.1,between 5 and 10,1,NA,0,626735,Restoration,NA,NA,NA,NA,0,0,0,0,0,698548.3854
317,MT,80e6af8b-3925-4b80-b811-86bc869d7725,Rattlesnake Creek Dam,Rattlesnake Creek,Pacific Northwest Region,Northwest,46.914964,-113.963841,4,210.0186,3.823114147,19.8,2020,1904,water supply,concrete,3,3,less than 5,1,NA,0,1770000,"Safety,Restoration",ReservoirStab,NA,"CofferDam,RiverHabFeature","Revegetation,Public.Interpr.Facility",5,1,2,2,5,1972812.5
318,NC,e3e481e7-9a46-4b16-a8ab-82e23a7df8ea,Quaker Neck Dam,Neuse River,South Atlantic-Gulf Region,Southeast,35.3812,-78.0852,6,5324.1624,61.80403878,NA,1998,1952,"power, water supply",concrete,3,5.2,between 5 and 10,1,NA,0,418856,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,503568.4494
319,NC,b614e91f-397d-4279-a993-0ca0a1999641,Payne Branch Dam,Middle Fork New River,Ohio Region,Southeast,36.18412,-81.65231,2,31.8177,0.827673121,73,2020,1924,power,concrete,3,6.1,between 5 and 10,1,NA,0,1370000,Restoration,Sed removal,NA,NA,"ReshapeTopography,Revegetation,Eradicate.Invasives,Stability.Structures",5,1,0,4,5,1647078.652
320,NC,dda1c71e-8c39-4225-aec7-df73c73e8881,Dillsboro Dam,Tuckaseegee River,Tennessee Region,Southeast,35.36653,-83.25,4,744.129,24.081836,68.3,2010,NA,power,concrete,3,3.7,less than 5,1,NA,0,1278474,Restoration,Sed removal,NA,NA,"Revegetation,EcologicalMonitoring,Other",4,1,0,3,4,1537041.775
321,NC,2ff6c010-04de-4115-94c3-2a1177fd29f5,Buckhorn Dam,Buckhorn Creek,South Atlantic-Gulf Region,Southeast,35.53137,-78.9755,4,206.8137,2.377114355,NA,2010,NA,power,unknown,,NA,unknown,1,NA,0,887894,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,1067468.067
